t,x,u
0.00000000,3.64473835,-0.48218377
0.00000000,3.65087428,-0.48755016
0.00000000,3.65701020,-0.49289819
0.00000000,3.66314612,-0.49822767
0.00000000,3.66928204,-0.50353838
0.00000000,3.67541797,-0.50883014
0.00000000,3.68155389,-0.51410274
0.00000000,3.68768981,-0.51935599
0.00000000,3.69382574,-0.52458968
0.00000000,3.69996166,-0.52980362
0.00000000,3.70609758,-0.53499762
0.00000000,3.71223351,-0.54017147
0.00000000,3.71836943,-0.54532499
0.00000000,3.72450535,-0.55045797
0.00000000,3.73064128,-0.55557023
0.00000000,3.73677720,-0.56066158
0.00000000,3.74291312,-0.56573181
0.00000000,3.74904905,-0.57078075
0.00000000,3.75518497,-0.57580819
0.00000000,3.76132089,-0.58081396
0.00000000,3.76745682,-0.58579786
0.00000000,3.77359274,-0.59075970
0.00000000,3.77972866,-0.59569930
0.00000000,3.78586458,-0.60061648
0.00000000,3.79200051,-0.60551104
0.00000000,3.79813643,-0.61038281
0.00000000,3.80427235,-0.61523159
0.00000000,3.81040828,-0.62005721
0.00000000,3.81654420,-0.62485949
0.00000000,3.82268012,-0.62963824
0.00000000,3.82881605,-0.63439328
0.00000000,3.83495197,-0.63912444
0.00000000,3.84108789,-0.64383154
0.00000000,3.84722382,-0.64851440
0.00000000,3.85335974,-0.65317284
0.00000000,3.85949566,-0.65780669
0.00000000,3.86563159,-0.66241578
0.00000000,3.87176751,-0.66699992
0.00000000,3.87790343,-0.67155895
0.00000000,3.88403935,-0.67609270
0.00000000,3.89017528,-0.68060100
0.00000000,3.89631120,-0.68508367
0.00000000,3.90244712,-0.68954054
0.00000000,3.90858305,-0.69397146
0.00000000,3.91471897,-0.69837625
0.00000000,3.92085489,-0.70275474
0.00000000,3.92699082,-0.70710678
0.00000000,3.93312674,-0.71143220
0.00000000,3.93926266,-0.71573083
0.00000000,3.94539859,-0.72000251
0.00000000,3.95153451,-0.72424708
0.00000000,3.95767043,-0.72846439
0.00000000,3.96380636,-0.73265427
0.00000000,3.96994228,-0.73681657
0.00000000,3.97607820,-0.74095113
0.00000000,3.98221413,-0.74505779
0.00000000,3.98835005,-0.74913639
0.00000000,3.99448597,-0.75318680
0.00000000,4.00062189,-0.75720885
0.00000000,4.00675782,-0.76120239
0.00000000,4.01289374,-0.76516727
0.00000000,4.01902966,-0.76910334
0.00000000,4.02516559,-0.77301045
0.00000000,4.03130151,-0.77688847
0.00000000,4.03743743,-0.78073723
0.00000000,4.04357336,-0.78455660
0.00000000,4.04970928,-0.78834643
0.00000000,4.05584520,-0.79210658
0.00000000,4.06198113,-0.79583690
0.00000000,4.06811705,-0.79953727
0.00000000,4.07425297,-0.80320753
0.00000000,4.08038890,-0.80684755
0.00000000,4.08652482,-0.81045720
0.00000000,4.09266074,-0.81403633
0.00000000,4.09879667,-0.81758481
0.00000000,4.10493259,-0.82110251
0.00000000,4.11106851,-0.82458930
0.00000000,4.11720443,-0.82804505
0.00000000,4.12334036,-0.83146961
0.00000000,4.12947628,-0.83486287
0.00000000,4.13561220,-0.83822471
0.00000000,4.14174813,-0.84155498
0.00000000,4.14788405,-0.84485357
0.00000000,4.15401997,-0.84812034
0.00000000,4.16015590,-0.85135519
0.00000000,4.16629182,-0.85455799
0.00000000,4.17242774,-0.85772861
0.00000000,4.17856367,-0.86086694
0.00000000,4.18469959,-0.86397286
0.00000000,4.19083551,-0.86704625
0.00000000,4.19697144,-0.87008699
0.00000000,4.20310736,-0.87309498
0.00000000,4.20924328,-0.87607009
0.00000000,4.21537921,-0.87901223
0.00000000,4.22151513,-0.88192126
0.00000000,4.22765105,-0.88479710
0.00000000,4.23378697,-0.88763962
0.00000000,4.23992290,-0.89044872
0.00000000,4.24605882,-0.89322430
0.00000000,4.25219474,-0.89596625
0.00000000,4.25833067,-0.89867447
0.00000000,4.26446659,-0.90134885
0.00000000,4.27060251,-0.90398929
0.00000000,4.27673844,-0.90659570
0.00000000,4.28287436,-0.90916798
0.00000000,4.28901028,-0.91170603
0.00000000,4.29514621,-0.91420976
0.00000000,4.30128213,-0.91667906
0.00000000,4.30741805,-0.91911385
0.00000000,4.31355398,-0.92151404
0.00000000,4.31968990,-0.92387953
0.00000000,4.32582582,-0.92621024
0.00000000,4.33196174,-0.92850608
0.00000000,4.33809767,-0.93076696
0.00000000,4.34423359,-0.93299280
0.00000000,4.35036951,-0.93518351
0.00000000,4.35650544,-0.93733901
0.00000000,4.36264136,-0.93945922
0.00000000,4.36877728,-0.94154407
0.00000000,4.37491321,-0.94359346
0.00000000,4.38104913,-0.94560733
0.00000000,4.38718505,-0.94758559
0.00000000,4.39332098,-0.94952818
0.00000000,4.39945690,-0.95143502
0.00000000,4.40559282,-0.95330604
0.00000000,4.41172875,-0.95514117
0.00000000,4.41786467,-0.95694034
0.00000000,4.42400059,-0.95870347
0.00000000,4.43013652,-0.96043052
0.00000000,4.43627244,-0.96212140
0.00000000,4.44240836,-0.96377607
0.00000000,4.44854428,-0.96539444
0.00000000,4.45468021,-0.96697647
0.00000000,4.46081613,-0.96852209
0.00000000,4.46695205,-0.97003125
0.00000000,4.47308798,-0.97150389
0.00000000,4.47922390,-0.97293995
0.00000000,4.48535982,-0.97433938
0.00000000,4.49149575,-0.97570213
0.00000000,4.49763167,-0.97702814
0.00000000,4.50376759,-0.97831737
0.00000000,4.50990352,-0.97956977
0.00000000,4.51603944,-0.98078528
0.00000000,4.52217536,-0.98196387
0.00000000,4.52831129,-0.98310549
0.00000000,4.53444721,-0.98421009
0.00000000,4.54058313,-0.98527764
0.00000000,4.54671906,-0.98630810
0.00000000,4.55285498,-0.98730142
